vertebra,dice,iou
C1,0.705754,0.670693
C2,0.900582,0.858658
C3,0.887064,0.836764
C4,0.861624,0.799411
C5,0.725502,0.650106
C6,0.774756,0.701352
C7,0.902781,0.848159
T1,0.940320,0.902609
T2,0.908922,0.873909
T3,0.912802,0.874261
T4,0.906671,0.869120
T5,0.899256,0.852086
T6,0.861791,0.813687
T7,0.819518,0.768367
T8,0.862365,0.817120
T9,0.875812,0.839229
T10,0.878495,0.847238
T11,0.884701,0.853147
T12,0.894497,0.868939
L1,0.912879,0.882688
L2,0.911559,0.878876
L3,0.897621,0.863996
L4,0.900067,0.873826
L5,0.927170,0.899052
S1,0.886467,0.824080
